Prerequisites,Course Name,Credits,Concurrent Enrollment
CVNG 3040;CVNG 3090;CVNG 3110;CVNG 3130;CVNG 3150,CVNG 4500,3,False
,CVNG 4510,3,False
,CVNG 4910,0,False
,CVNG 4915,3,False
,CVNG 4930,3,False
,CVNG 4980,3,False
,CLH 1200,3,False
,CLH 1210,3,False
,CLH 1930,3,False
,CLH 1980,3,False
,CLH 2900,3,False
,CLH 2930,3,False
,CLH 2980,3,False
,CLH 3300,3,False
,CLH 3910,6,False
,CLH 3930,4,False
,CLH 3980,3,False
,CLH 4290,3,False
,CLH 4310,3,False
,CLH 4630,3,False
,CLH 4640,3,False
,CLH 4910,6,False
,CLH 4930,3,False
,CLH 4960,3,False
,CLH 4980,3,False
,CMM 1000,3,False
